date,value
2024-04-19,25591
2024-04-20,25491
2024-04-21,25391
2024-04-22,25291
2024-04-23,25191
2024-04-24,25091
2024-04-25,24991
2024-04-26,24891
2024-04-27,24791
2024-04-28,24691
2024-04-29,24591
2024-04-30,24491
2024-05-01,24391
2024-05-02,24291
2024-05-03,24191
2024-05-04,24091
2024-05-05,23991
2024-05-06,23891
2024-05-07,23791
2024-05-08,23691
2024-05-09,23591
2024-05-10,23491
2024-05-11,23391
2024-05-12,23291
2024-05-13,23191
2024-05-14,23091
2024-05-15,22991
2024-05-16,22891
2024-05-17,22791
2024-05-18,22691
2024-05-19,22591
2024-05-20,22491
2024-05-21,22391
2024-05-22,22291
2024-05-23,22191
2024-05-24,22091
2024-05-25,21991
2024-05-26,21891
2024-05-27,21791
2024-05-28,21691
2024-05-29,21591
2024-05-30,21491
2024-05-31,21391
2024-06-01,21291
2024-06-02,21191
2024-06-03,21091
2024-06-04,20991
2024-06-05,20891
2024-06-06,20791
2024-06-07,20691
2024-06-08,20591
2024-06-09,20491
2024-06-10,20391
2024-06-11,20291
2024-06-12,20191
2024-06-13,20091
2024-06-14,19991
2024-06-15,19891
2024-06-16,19791
2024-06-17,19691
2024-06-18,19591
2024-06-19,19491
2024-06-20,19391
2024-06-21,19291
2024-06-22,19191
2024-06-23,19091
2024-06-24,18991
2024-06-25,18891
2024-06-26,18791
2024-06-27,18691
2024-06-28,18591
2024-06-29,18491
2024-06-30,18391
2024-07-01,18291
2024-07-02,18191
2024-07-03,18091
2024-07-04,17991
2024-07-05,17891
2024-07-06,17791
2024-07-07,17691
2024-07-08,17591
2024-07-09,17491
2024-07-10,17391
2024-07-11,17291
2024-07-12,17191
2024-07-13,17091
2024-07-14,16991
2024-07-15,16891
2024-07-16,16791
2024-07-17,16691
2024-07-18,16591
2024-07-19,16491
2024-07-20,16391
2024-07-21,16291
2024-07-22,16191
2024-07-23,16091
2024-07-24,15991
2024-07-25,15891
2024-07-26,15791
2024-07-27,15691
2024-07-28,15591
2024-07-29,15491
2024-07-30,15391
2024-07-31,15291
2024-08-01,15191
2024-08-02,15091
2024-08-03,14991
2024-08-04,14891
2024-08-05,14791
2024-08-06,14691
2024-08-07,14591
2024-08-08,14491
2024-08-09,14391
2024-08-10,14291
2024-08-11,14191
2024-08-12,14091
2024-08-13,13991
2024-08-14,13891
2024-08-15,13791
2024-08-16,13691
2024-08-17,13591
2024-08-18,13491
2024-08-19,13391
2024-08-20,13291
2024-08-21,13191
2024-08-22,13091
2024-08-23,12991
2024-08-24,12891
2024-08-25,12791
2024-08-26,12691
2024-08-27,12591
2024-08-28,12491
2024-08-29,12391
2024-08-30,12291
2024-08-31,12191
2024-09-01,12091
2024-09-02,11991
2024-09-03,11891
2024-09-04,11791
2024-09-05,11691
2024-09-06,11591
2024-09-07,11491
2024-09-08,11391
2024-09-09,11291
2024-09-10,11191
2024-09-11,11091
2024-09-12,10991
2024-09-13,10891
2024-09-14,10791
2024-09-15,10691
2024-09-16,10591
2024-09-17,10491
2024-09-18,10391
2024-09-19,10291
2024-09-20,10191
2024-09-21,10091
